Altura (m),Idade,Sexo,Velocidade média (m/s),Cadência,Comprimento médio passada,Erro absoluto médio do comprimento de passo em metros,Desvio padrão comprimento passo medido em metros,Desvio padrão do erro de comprimento de passo em metros,Largura da passada,Erro largura da passada,Desvio padrão largura da passada,Comprimento médio de meio passo em metros,Erro absoluto médio do meio comprimento de passo em metros,Desvio padrão do comprimento médio de meio passo em metros,Desvio padrão do erro de comprimento de meio passo em metros,Comprimento do Swing em metros,Erro absoluto médio do swing em metros,Desvio padrão do swing em metros,Desvio padrão do erro de swing em metros,Comprimento do Stance em metros,Erro absoluto médio do stance em metros,Desvio padrão do stance em metros,Desvio padrão do erro de stance em metros,Distância inicial do pé em metros,Desvio padrão da distância inicial entre os pés,Ângulo médio de abertura das pernas durante a caminhada (°),Desvio padrão do ângulo médio dos passos em graus,Número de amostras do ângulo,Ângulo médio da coxa do joelho esquerdo,Desvio padrão do ângulo  médio da coxa do joelho esquerdo,Ângulo médio de flexão do joelho esquerdo,Desvio padrão do ângulo de flexão do joelho esquerdo,Ângulo médio de flexão do joelho direito,Desvio padrão do ângulo de flexão do joelho direito,Ângulo extensão do quadril (°),Desvio padrão do ângulo de extensão do quadril (°),Simetria do comprimento de passo,Desvio padrão da simetria do comprimento de passo,Movimento
1.7650,20.00,0,1.7224,37.8772,0.8886,0.3707,0.3707, 0.27,0.1614,0.0136,0.1672,0.5802,0.1352,0.3247,0.1601, 0.8140,0.3840,0.1897,0.1897,0.9113,0.4513,0.1537 ,0.1537,0.1750, 0.0875,15.7490,17.5716,30,-6.761994425615645,59.10652423684531,19.078942289506603,17.55288070084728,20.308072853959935,14.340978860724626,-17.330180794459764,25.38047065375557,0.5435535201867425,0.4314365383829891,0
1.7650,20.00,0,1.5554,40.7939,1.0760,0.3135,0.3135, 0.20,0.1297,0.0453,0.1274,0.5605,0.1155,0.2468,0.1682, 0.7170,0.2870,0.2091,0.2091,0.7904,0.3304,0.2161 ,0.2161,0.1750, 0.0875,16.9286,16.0989,64,-12.56981761940501,61.95238370682742,15.33251645680971,14.477368953691569,19.69425772387617,15.854862411025968,-14.28065169203986,32.89665545361318,0.7090067661478779,0.39126851550715025,0
1.7650,20.00,0,1.6045,47.6321,1.0677,0.2543,0.2543, 0.18,0.1279,0.0471,0.1123,0.5600,0.1150,0.2056,0.1477, 0.6766,0.2466,0.1945,0.1945,0.7334,0.2734,0.2116 ,0.2116,0.1750, 0.0875,18.0893,16.0640,86,-11.52513989687009,63.84962347014265,16.756665349455645,15.72567235692478,19.20980324749955,16.70785563278828,-11.134472147387736,32.028086114094975,0.7885464677305725,0.3546431151386636,0
1.8100,45.00,0,1.4590,41.7926,0.8544,0.3849,0.3849, 0.29,0.2420,-0.0440,0.1677,0.5386,0.1006,0.3179,0.1873, 0.7850,0.3540,0.2150,0.2150,0.8883,0.4433,0.1935 ,0.1935,0.1980, 0.0990,11.6114,13.4839,27,-38.43043518911389,59.93350451407511,18.85849771837917,14.071377091024432,26.14588292798564,18.711433568832614,-39.28879095138266,31.7825128413457,0.5325996588110484,0.4192702955390538,0
1.8100,45.00,0,1.5128,48.7963,1.0040,0.2739,0.2739, 0.18,0.1978,0.0002,0.1357,0.5279,0.0899,0.2385,0.1729, 0.7006,0.2696,0.2124,0.2124,0.7579,0.3129,0.2441 ,0.2441,0.1980, 0.0990,14.6184,13.0867,54,-22.842011484887905,63.87835099684346,24.87523718016944,20.233555775294096,22.107446524451017,17.654554422324246,-19.03537633639647,32.80538142364337,0.7497838012029882,0.4218488616336194,0
1.8100,45.00,0,1.6615,57.7280,1.0253,0.2259,0.2259, 0.16,0.1879,0.0101,0.1210,0.5460,0.1080,0.2005,0.1452, 0.6719,0.2409,0.1906,0.1906,0.7154,0.2704,0.2241 ,0.2241,0.1980, 0.0990,16.8268,13.6771,71,-28.305833911409344,63.22915334599168,27.540332801551333,19.932614016915508,23.087961299427743,17.446517762137447,-10.659861547819531,32.80353344484355,0.8204808926912772,0.3737706330323053,0
1.7700,40.00,0,0.7861,116.3191,0.7201,0.4186,0.4186, 0.33,0.4472,-0.2502,0.2252,0.4642,0.0372,0.3176,0.2429, 0.7202,0.2822,0.2798,0.2798,0.8600,0.4440,0.2424 ,0.2424,0.1970, 0.0985,0.0000,0.0000,9,-47.93891202687023,17.259651135675593,73.32800741717507,26.01060738045775,82.50041717007664,29.15390144981821,-58.456481898909374,21.30061780679277,0.4803180327029665,0.4095550044482513,0
1.7700,40.00,0,1.1489,74.1162,0.8928,0.2841,0.2841, 0.22,0.1871,0.0099,0.2207,0.5211,0.0941,0.2465,0.1841, 0.6738,0.2358,0.2379,0.2379,0.7745,0.3585,0.2338 ,0.2338,0.1970, 0.0985,7.0559,14.0722,36,-28.139721191300232,54.052542043784364,47.05130246923599,35.066484334695666,61.98832966698623,32.40226819531846,-36.73336480050666,34.304407377327834,0.6752746957186679,0.3986850826892293,0
1.7700,40.00,0,1.4380,71.2205,1.0292,0.2586,0.2586, 0.18,0.1509,0.0461,0.1839,0.5286,0.1016,0.2070,0.1587, 0.6310,0.1930,0.2192,0.2192,0.7279,0.3119,0.2180 ,0.2180,0.1970, 0.0985,13.0123,16.1522,58,-23.353320086840167,59.05288224340948,39.3705426174079,32.789496393680864,46.40151426369342,35.74611091044147,-24.108486758878286,32.385125620165624,0.7263501097469087,0.3466123562878394,0
1.7700,40.00,0,1.6029,71.9196,1.0450,0.2174,0.2174, 0.16,0.1477,0.0493,0.1606,0.5427,0.1157,0.1830,0.1391, 0.6234,0.1854,0.1966,0.1966,0.6991,0.2831,0.2037 ,0.2037,0.1970, 0.0985,16.3403,16.6333,77,-17.708463007858434,63.212511731235544,35.022894990928094,29.916676492179562,37.48806112071965,33.286457869163755,-16.21860461037156,32.58631555894325,0.791033228913907,0.32941476375726675,0
1.7700,40.00,0,1.7320,59.6524,0.8656,0.3539,0.3539, 0.25,0.2410,-0.0440,0.2428,0.5173,0.0903,0.3167,0.2007, 0.7683,0.3303,0.2318,0.2318,0.8783,0.4623,0.2107 ,0.2107,0.1970, 0.0985,14.5783,12.7634,19,39.27038593421691,41.124174874188185,23.673897920376476,13.937221757764943,15.528135497923444,13.132495887802065,-6.258957251665071,8.522959170871149,0.5243822217781594,0.4197803928553216,1
1.7650,20.00,0,1.0145,38.0131,0.8989,0.2861,0.2861, 0.23,0.1647,0.0103,0.1855,0.4679,0.0229,0.3174,0.2439, 0.7219,0.2919,0.2782,0.2782,0.8630,0.4030,0.2374 ,0.2303,0.1750, 0.0875,8.5692,8.5595,29,-10.351840763850106,51.6710991133014,12.548487176617513,15.645913466850452,10.976747221646317,11.140329500190568,-4.247723469626938,13.610206857209151,0.4782370353429197,0.40862114018696166,1
